50;85
38;194
39;102
41;98
48;110
33;170
35;94
33;95
32;95
38;168
18;90
21;161
35;91
16;87
20;148
16;110
32;124
21;118
16;115
23;212
17;123
22;112
17;116
19;114
31;120
20;116
16;121
28;168
17;124
19;121
16;121
19;122
32;120
22;198
20;124
17;128
17;122
19;135
17;130
20;124
16;125
20;128
16;124
23;198
22;126
17;126
19;132
16;126
35;184
17;138
53;159
37;133
19;133
20;204
18;137
20;132
17;130
19;130
17;130
20;181
23;133
16;131
20;132
18;136
44;193
22;150
17;136
20;133
17;133
23;121
18;145
20;133
17;137
20;165
19;153
20;137
17;137
20;135
21;125
18;149
20;137
18;162
20;139
17;143
20;128
18;158
20;142
17;141
20;141
18;140
20;158
18;153
20;142
17;144
20;142
17;144
41;153
27;171
25;160
28;137
19;160
18;150
25;145
19;151
21;146
23;148
19;159
25;152
18;148
24;149
19;150
24;135
19;170
25;156
21;138
25;153
18;156
24;156
21;136
33;167
25;156
21;139
19;164
25;156
20;160
20;141
19;165
21;157
44;158
25;154
25;156
24;217
24;158
21;157
21;204
25;158
17;159
17;161
20;159
20;223
20;184
20;163
17;162
38;235
27;167
19;165
24;164
18;166
20;216
24;166
17;164
22;184
20;164
17;168
20;166
21;165
17;167
20;211
25;169
20;169
20;222
24;167
17;169
21;228
24;171
20;169
18;170
20;219
20;183
20;170
28;184
20;173
20;215
28;174
20;176
21;262
24;173
17;174
20;175
21;221
24;175
17;175
23;188
19;174
24;155
25;177
24;176
18;178
23;172
22;187
20;176
17;180
47;179
21;157
24;189
28;208
26;201
27;183
19;182
20;180
21;160
25;181
17;180
20;180
20;159
19;191
20;182
32;178
19;209
21;183
37;185
20;192
18;199
25;189
22;203
37;213
21;187
38;188
21;193
21;189
21;221
20;206
25;203
21;190
20;196
25;188
26;191
29;248
25;194
21;194
26;289
26;197
20;193
25;236
25;191
25;195
18;198
21;247
20;205
21;194
25;195
19;194
44;285
35;225
26;223
25;181
19;212
20;201
20;210
25;202
20;202
20;180
18;210
20;203
20;242
24;217
55;228
24;181
34;201
27;297
24;205
27;205
22;253
20;207
20;203
25;204
22;205
22;206
23;280
28;207
21;206
25;250
21;219
25;206
20;207
25;256
25;210
23;213
21;253
20;220
20;212
18;209
26;211
25;213
22;212
22;249
29;226
23;215
25;190
25;212
25;189
20;231
21;215
21;215
22;213
25;190
20;234
22;218
20;217
26;225
25;215
25;213
25;191
25;222
20;218
25;217
20;220
21;220
23;222
22;304
22;229
21;218
25;222
19;227
25;220
18;220
25;261
25;221
25;219
25;263
24;248
43;248
29;206
26;226
26;226
26;199
27;224
26;228
24;199
26;247
21;227
25;228
26;202
26;228
21;203
26;229
26;229
26;202
26;232
27;233
26;205
26;235
19;232
22;235
26;204
26;231
28;234
21;203
30;232
27;238
26;204
26;236
43;342
28;241
21;237
27;238
26;291
22;236
26;236
26;293
26;236
26;254
27;238
26;238
20;247
26;241
21;249
27;240
26;239
26;274
28;241
26;240
26;275
20;263
22;239
26;249
26;292
26;241
26;242
27;282
27;245
26;245
26;281
26;247
60;243
27;247
22;249
32;277
26;247
22;276
26;247
27;249
27;270
26;248
27;244
27;253
26;252
26;262
26;248
27;282
31;251
22;260
22;253
27;307
40;264
28;262
27;253
27;287
27;254
22;254
21;257
22;254
30;303
26;253
26;258
20;254
27;288
27;265
19;267
28;255
30;265
29;266
30;306
28;265
28;261
27;293
29;299
27;287
42;303
26;260
21;371
26;262
26;259
26;292
40;263
22;263
22;289
27;263
22;261
27;299
26;261
26;277
28;262
26;291
31;262
22;275
25;265
21;252
20;283
21;265
21;277
21;263
23;244
27;265
22;278
27;263
25;292
27;266
22;279
26;266
26;270
31;267
26;278
29;266
21;278
28;270
22;267
20;256
25;269
21;275
28;279
22;277
25;296
26;270
26;279
30;283
22;277
26;275
26;275
28;310
27;274
25;273
23;239
26;276
34;310
26;279
19;274
25;279
31;286
40;326
29;247
27;277
25;302
28;289
27;280
26;291
28;296
27;279
26;245
27;277
23;244
28;282
22;282
21;280
26;283
27;282
25;279
26;245
27;285
27;286
30;279
27;292
65;300
68;342
59;283
60;291
60;283
60;337
59;284
60;334
60;284
54;277
61;284
59;286
56;342
53;312
77;299
59;290
52;374
58;287
52;329
58;288
57;279
59;287
55;279
60;309
56;312
59;281
65;291
56;462
61;294
49;297
93;295
60;294
59;320
53;322
59;299
57;380
60;316
63;293
60;292
57;353
61;295
57;358
61;297
60;299
62;294
56;362
60;297
63;287
60;297
56;334
63;295
64;285
61;297
65;308
57;299
60;273
60;297
56;310
60;309
64;299
63;317
59;318
60;300
82;328
64;313
62;313
52;332
57;308
58;312
57;326
55;307
53;338
57;318
54;313
58;309
54;321
56;329
58;321
56;311
67;318
59;337
61;312
56;322
59;329
57;327
55;313
57;299
56;313
58;315
56;321
56;314
57;319
62;315
85;322
54;323
60;318
58;319
57;319
62;323
57;316
58;319
57;317
57;329
58;319
52;318
58;318
54;323
54;319
57;317
52;327
58;319
59;304
58;321
61;316
58;324
61;336
62;320
62;324
58;322
56;362
69;327
60;313
60;324
60;326
58;328
62;316
59;326
62;316
72;355
53;329
59;324
58;331
58;332
57;326
59;328
56;312
56;332
53;334
57;328
57;333
59;328
58;412
57;327
55;338
58;331
58;314
60;329
58;325
57;333
58;326
58;333
60;329
61;332
59;357
60;333
58;325
59;334
59;333
53;364
55;328
53;332
56;334
60;344
62;340
66;340
70;386
68;338
62;306
63;330
69;331
58;352
